,A,B.s1.easy,B.s2.easy,B.s1.hard,B.s2.hard,t0,mean_v.s1.easy.true,mean_v.s2.easy.true,mean_v.s1.hard.true,mean_v.s2.hard.true,mean_v.s1.easy.false,mean_v.s2.easy.false,mean_v.s1.hard.false,mean_v.s2.hard.false
31,5.747235676,2.018471175,1.096926206,1.844402249,1.328797332,0.393660524,2.879100959,2.814455249,2.690817096,3.108989253,0.306878016,0.013452589,0.296760054,0.020904798
32,5.026706378,2.061984913,1.096917157,1.695967717,1.327375447,0.279627098,2.636804066,3.122005803,2.134130055,3.017197075,0.242912321,0.013923007,0.205090506,0.020551306
33,6.073686289,2.27775414,1.097078683,1.731612599,1.414590905,0.582911492,3.143127443,2.679977499,2.886059144,2.528090015,0.461385535,0.012967404,0.274829702,0.020769431
34,6.369263765,2.746129397,1.09697277,2.280132907,1.38829329,0.487814164,2.051027186,2.928065857,1.940879781,2.918728752,1.087394635,0.012709859,0.89868551,0.020435575
36,4.078813838,1.50727689,1.096844108,1.224381217,1.335116725,0.258121296,2.706443211,2.99082313,2.157320505,3.007728987,0.291669668,0.013566914,0.501737238,0.020365425
37,3.940776602,2.266034303,1.096941307,1.865358318,1.286053937,0.325818001,1.860071352,3.149729033,1.641543925,3.519090652,0.60222996,0.01319711,0.420638459,0.020539084
38,5.557725435,1.731239264,1.096885013,1.616339623,1.29743292,0.522566373,2.258359699,2.915287111,1.804725205,3.500737547,0.593317844,0.013745843,0.504470392,0.020479521
39,1.171662138,1.150401123,1.09696672,1.101862747,1.18565781,0.244268251,2.11779912,2.962865467,2.131926394,3.051627589,1.088320809,0.014873791,1.040974987,0.021049776
40,6.2528352,1.378860393,1.097097679,1.211165895,1.370619707,0.87601682,2.693205684,2.804473959,2.769358358,3.009085393,0.257526654,0.013339846,0.466309161,0.020499725
41,5.755966187,1.411141847,1.096945684,1.260667696,1.246778691,0.246006743,2.636412399,3.24979117,2.590642445,3.317092395,0.729960002,0.013004548,1.232885435,0.020319293
43,6.639181585,1.054394822,1.097094741,1.494018575,1.394700559,0.502455224,2.017339763,2.575640855,2.130105248,2.576959853,0.329889977,0.012934435,0.230612126,0.02010601
44,3.425890691,1.844239149,1.096893562,1.780319631,1.293416953,0.241718125,1.631090429,3.048598081,1.330051953,3.345580573,1.12733872,0.013534238,1.29355688,0.02145834
45,5.544928423,1.658016631,1.09689638,1.487703838,1.242899013,0.339262788,2.560831826,2.132240562,2.438565644,2.441357189,0.313185447,0.015209712,0.709326965,0.021714738
46,6.040043917,1.202260009,1.0969426,1.695680318,1.30846722,0.355597838,1.939889778,3.024760509,1.743433563,3.247234914,0.541679781,0.012894019,0.752568362,0.020342637
47,5.40873514,2.224205818,1.096915989,1.85935202,1.370991367,0.049560641,2.767726654,2.75447122,2.468390222,3.142105708,1.427576577,0.01392058,0.707545858,0.0209587
48,3.688480525,1.699832442,1.096861386,1.490374824,1.300675719,0.273584861,2.240399502,2.998264067,2.145296622,3.095431167,0.615862675,0.013736156,0.432281309,0.020306281
49,4.038495565,1.505173662,1.09695142,1.725349434,1.288509747,0.334434557,2.120398688,2.919027842,2.450689449,3.252339502,0.259989718,0.013101825,0.367785387,0.020674188
50,5.73215535,1.521403387,1.096940802,2.161876924,1.363192053,0.489815206,1.805898782,3.147478464,2.142768634,3.459247358,0.96597555,0.012912977,0.713197488,0.020479231
51,3.450987578,1.464950965,1.096912812,1.478260557,1.283676412,0.225070859,2.268008863,2.95419938,2.4045432,3.232844892,0.396877284,0.013314502,0.455355726,0.020387211
53,5.140246075,2.133639165,1.096931653,1.458990284,1.310473155,0.28051197,2.583224742,2.822149742,2.093833955,3.256945935,0.871834148,0.013769089,0.762170304,0.020276683
54,1.303647517,0.957252732,1.097008167,1.11589261,1.199416499,0.254484889,1.959278727,3.078288123,1.98355059,3.467770362,0.997927599,0.013947666,1.409506973,0.020546207
55,3.792861379,1.389121559,1.096995163,1.410739645,1.251386857,0.241396443,1.856920424,3.011788655,1.756587928,3.674065686,0.543533309,0.013250136,0.827721944,0.020494657
